asin,category,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
0449908585,Books,"[0, 0]",4,"I liked the interwoven personal drama, set off against the genuine tribulations of being a sole traveller on a mission, in what is quite frankly a difficult part of the world to navigateSuccessfully debunking the paradise myth as well as adding a footnote to anthropology's generally poor track record in this part of the world is a bonus","04 16, 2014",AL3Y69LODZTP8,"Dropletform ""Drop""",More good stuff from Theroux,1397606400
1480225649,Books,"[0, 0]",5,"I can't say enough good things about this book. An epic romance with the hot guy and insecure hot girl. I keep reading it over and over. The whole series rocks! All I can say is.....more Mason, Sam, and Logan please!","05 19, 2014",A1D4CP1KNYDTBT,t. Mallory,AWESOME TEEN ROMANCE,1400457600
1451638833,Books,"[0, 0]",5,"This novel has everything a sci-fi reader is looking for; Mysteries, Conspiracies, Space Travel, and Aliens.Love the story. Can't wait to see where it take me.Nu","01 4, 2014",A2LFV2A4SVN1HU,NuForce,Great Plot,1388793600
161109884X,Books,"[0, 0]",5,This fabulous story just can't be missed.  Will keep the pages turning  nonstop.  Ended too soon and begged for more.,"06 2, 2014",AI6Q4UETJR85X,sblettuce,Melinda Leigh,1401667200
B00KKPKAAU,Books,"[1, 1]",5,"Really enjoyed this instalment of the series! Finally Honor and Grayson get together, we've all been waiting for this since Brutes book! I feel bad for what happened to her in London so I cheered when she finally let go her rage and went for Angus' throat in the story! It was a long journey for her to get to that stage, she'd had a lot of healing to do but when she let go of her fear and attacked him I couldn't help the smile on my face!I loved how patient Grayson was with her throughout the book, helping her heal. I also loved that we seen another side of Alex and Maya when they were dealing with Honor at the start but my favourite thing about Ridgeville was how they all came together to help Honor in any way they could. The chemistry between Grayson and Honor was amazing and they certainly built the sexual tension between them until Honor was ready to mate with Grayson. She had some demons to face before she could be in the right headspace to mate with Grayson without freaking out!I hope there are more Ridgeville books as there are a few characters we didn't see (two we heard mentioned, one who appeared and a new character I'd like more off) that I'd like to see get their HEA, like the Mastin sisters and Stone as well as Deuce's sister too.","06 3, 2014",A1WR5OUT03E3M8,S. Lacey,Excellant!,1401753600
0007386648,Books,"[0, 0]",5,"I had not previously read this author but heard a review of this book on the radio and knew I had to read it. Even we baby-boomers have huge gaps in our knowledge of World War II - Unbroken fills in gaps and brings it home to the reader. I recommend it to readers of all ages. Our fathers and grandfathers who fought this war didn't think they were doing anything but their job.  Those, like Louie, who became POWs, found courage they never thought they'd have. As I read this, I wondered what I would have done in his place. I read this book in two sittings.","02 6, 2014",A3I75NCAT0LOVP,"MaryAW ""Animal Woman""",Couldn't put it down,1391644800
0991310632,Books,"[3, 3]",5,"I have had the privilege of being a beta reader for this new aspiring author and one of her biggest critics. As an older woman, 60+, I will always be a bit shocked at the explicit sex scenes in romance novels, however, this book has a story that is deep and moving which holds you right down to the last sentence. I loved the humor that was infused throughout the book. I laughed out loud, and shed a few tears. (not the norm for me, especially the laughter) The author was able to give me a book that I didn't want to put down until I finished, and what truly surprised me was that I enjoyed reading it a second and third time, normally, I am not one to even watch a movie twice. (I did that as a beta reader to give the best feedback that I could, but really enjoyed it each time discovering nuances in the story that I'd missed the time before.) I would recommend this book to lovers of Romance Novels who enjoy story lines like Nicholas Sparks has written and aren't turned-off by a bit of the ""Fifty-shades"" explicitness. Great read!","02 20, 2014",A2ZNEK7BN659CT,Young at heart grandma,"Wonderful mix of tears, laughter, tenderness and sensuality.",1392854400
0307395987,Books,"[1, 1]",5,I'm reading with a big grin on my face.  THAT'S ME!!!  And John has the answers.  You may not realize how wonderful it is to know why I stood alone on the playground watching the other kids play games.  It was like one of us was from another planet and I wasn't sure which of us.  In my case I could count on the fingers of one hand the children I'd seen by kindergarten.  And why do teachers approach the one child standing alone and tell him/her to go join the group?  Break it down a little for Pete's sake.  I didn't try to teach kids the 'right' way; I just didn't know what the heck to do with them at all.  Loving it.  Loving it.,"05 2, 2014",A2J0H9EMVV812K,Joanne Hudson,Coming Home,1398988800
1938857437,Books,"[0, 0]",5,"Cambria Hebert is an author that I wait anxiously for her next book, knowing I will love it and Tattoo, does not disappoint. I loved her novel, Text, and this reminds me a lot of that book due to the suspense and immediate chemistry between the male and female lead. Brody, a cop coming from years undercover, is rusty at following his emotions. Taylor, an unspoiled beauty, determined to see under his facade. The story starts out with a bang and the action doesn't stop. As with all of her writings, it is well written, great dialog, fast paced, and pulls you in immediately! Cambria - Text was my favorite, but Tattoo gives it a run for its money!","03 18, 2014",A1OVWNG0NDPEY7,Lost In Romance Books,Another Hit by Cambria Hebert!,1395100800
1589267109,Books,"[2, 3]",2,"This book seems to create strong feelings in all who read it. It certainly came to me highly recommended. My husband and I read this book along with the companion workbook with 4 other couples, and it was and arduous journey. For our group of Christian couples in happy marriages, there was just too much that did not apply to us. Sure, we each picked up a handy tip here and there, but it wasn't enough considering the length and repetitiveness of this book.I agree with the basis of Eggerichs' main point in this book: If she gets the love she needs, she will give him the respect he needs, which will cause him to give her the love she needs. You get it - it's the cycle of love and respect. I gave it to you in one sentence instead of 24 chapters. If this book was about a third the length, I probably would have rated it at least 1-star higher.Every time our group met after the first time, we felt like we were struggling to get something new out of what we had read. The workbook is even worse. The questions are extremely verbose restatements of what is already written in the chapters, and there are a lot of them. Each couple would need to invest a couple of hours into each session, only to feel like we were trudging through the same material each time.We were also disappointed by the lack of scriptural references. Though the book is loosely based on Ephesians 5, the author rarely includes scripture in the chapters and more often uses letters from happy Love & Respect retreat participants as teaching tools. Our group was hoping for more Biblical discussion than what we got.If your marriage needs work and you and your spouse have trouble supporting each other and understanding each other's point of view, this book may help you. If you are looking for a good small group discussion book for a group of happily married couples, I would urge you to pass. In fact, run away.","02 9, 2014",A2XNZ8PF6R8ZCY,Carpe Librum,Very Repetitive,1391904000
B00G19AZTK,Books,"[1, 1]",4,"This book was disturbing, addressing several controversial topics. It's not for the squeamish. I would have given it five stars, but the dialogue was a little off in some places.","07 8, 2014",A1U8AXA4IQ8GYK,Amazon Customer,Disturbing,1404777600
B00HGSV6I4,Books,"[0, 0]",4,Good plot/mystery and a strong woman investigator.  A little humor and a little romance whats not to like.  A very good cozy read.  Read all 3 books in this series and liked each one.,"05 28, 2014",A1TL9VWF849YPD,Judy L. Miller,good series,1401235200
1481928430,Books,"[0, 0]",3,"I was intrigued by the basic premise of the book. Dr Morgan Sierra wears a stone on a thong around her neck, as does her sister. When her sister and niece are kidnapped, Morgan is told she must collect 10 other stones, called the Pentecost stones, from around the world to save them. These stones, one for each Apostle, were originally carved from the stone that closed Jesus' tomb. I was impressed by the meticulous research into the lives of the original apostles and I liked the feeling of authenticity in the scene settings. In this day and age of faltering belief, this is a good book to read even if it is fiction.","02 4, 2014",A2JC0AB581NIX6,"Margaret Stevens ""Peg of the red pencil""",Very Well Researched,1391472000
B00JCYUS4I,Books,"[0, 0]",5,There's something about a hot fighter with anger issues. Loved this book the emotional roller coaster keeps you wanting more,"04 30, 2014",A28MCBT6E2QTDM,stef75949,awesome,1398816000
1416208461,Books,"[0, 0]",4,Very cute!,"07 3, 2014",AEPFI9LXLFVPZ,DeeAnn,Four Stars,1404345600
0316098329,Books,"[0, 0]",5,What a beautifully written book from a child's unknowing limited perspective.  So innocent the way Jack takes every spoken word literally that it made me more conscientious when speaking with my grandchildren.,"05 15, 2014",A3F1T8R9CVNPSN,Eileen M Brisbane,Sad yet moving,1400112000
1595543783,Books,"[0, 0]",3,"I recommend this book to anyone who wants non-stop suspense. My rating is personal,because I don't like non-stop suspense.  I'll still try the next book in this series and hope it isn't quite so tense. I know there's a lot of bad people in this world. I choose not to read about the sick people who hurt children. I read for entertainment and don't find psychos enjoyable.","03 13, 2014",A31W30UXKXNNRM,AntKathie,Not much of a sanctuary,1394668800
B00BF3EILI,Books,"[0, 2]",1,I read a sample and it seemed ok.  The price was pretty high.  Took a chance and sad that I did.  Main characters were total idiots. Felt like my kid wrote his S***.  Refund please!,"05 17, 2014",A2PNJCX5LJOUKG,Lisa/Sonya,Don't waste your time or money.,1400284800
0670026077,Books,"[0, 0]",5,"If you are looking for a book of fun facts on Elizabethan England than this is a good book for your collection. I wouldn't rely on it solely if you are buying it for research purposes, but for a basic overview I would recommend it.","03 10, 2014",A2HYHQHSRIUZ64,avidreader,Fun Book,1394409600
1597489417,Books,"[0, 0]",2,I guess this book was not for me I didn't even finish it I think I wanted ore context from the author I didn't really feel I. Touch with the characters,"06 11, 2014",A1N4DZQD6XINNY,Ash-Morning Books&amp;Coffee,Blah,1402444800
0307379418,Books,"[2, 3]",5,"I enjoy reading science, mainly &#34;popular science&#34;, Hawking usually loses me at about the second page though my career was Mechanical Engineering.As a designer I always believed that a building, steam or chemical system should be built and used as it was designed to be used. There may be some things that seem odd or are hard to understand to you,...BUT.... But, the designer just may have had some information that you as a builder or operator are not privy to.The same applies to most of &#34;us&#34;. Dr. Lieberman clearly describes how we came about and how far we humans have drifted away from the designers intent. We enjoy escargot but avoid worms and most insects. Our ancestors would not have turned their noses up at either...raw.And and how that drift has caused us some pain and suffering. His terms are &#34;Mismatch&#34; and &#34;Dysevolution&#34;. We have come so far in fact that &#34;changing back&#34; isn't always easy.Lieberman stresses two things, diet, and exercise. Our cousins, the Chimps and Gorillas spend much of the day walking and searching for food, they chew a while, sometimes rest a while and then start over. Walking is good! I believe he states it is almost as good for our bodies as running. At 82 I like that! Sometimes running is good, especially when a hyena or wild dog becomes interested in you. If it's a Cheeta or Leopard you're in big trouble.Actually some food can be better for us by cooking. Meat is easier to chew and now what we eat rarely has fur in it or fleas or maggots, which probably would have been eaten.The book is written for &#34;us&#34;, it is easily understood by laymen. I recommend it to anyone, in fact I sent a copy to a granddaughter who is a runner and mostly vegetarian.","05 8, 2014",AWYTHDO9JOSMN,Frank Hasty,"Enlightening, Throughly enjoyable",1399507200
1442359315,Books,"[4, 10]",1,I don't believe his story. He doesn't give me a valid reason to believe him. I think he has issues that need exploring.,"03 3, 2014",A1V26OY1Q9R8W1,Clara R. Lewis,Not yet,1393804800
1606390139,Books,"[0, 0]",4,"I recommend this book to those that enjoy original, honest stories. Sometimes funny, sometimes as this story will pull you in.","01 15, 2014",A24YDF71Q2GD34,"Milky Lee ""CerealRider""",Great Read,1389744000
B00L2SHKC0,Books,"[0, 0]",5,"I really enjoyed this book. It was a well written, easy, fun read. I loved getting to know Brad, Morgan and their friends. Can't wait for more from this author.","06 19, 2014",AG2FG9T3K126Q,SJ KS Reader,Great book.,1403136000
1477595651,Books,"[0, 0]",5,"It looks like I'm going to finish all 5 books during the month of March, that should tell you what you need to know.","03 20, 2014",A2QNK3GV9RU37,"J. Budde ""Sarge1998""",Mageborn: Book 3,1395273600
1623153204,Books,"[0, 0]",4,"Sugar Detox for Beginners suggests some serious cuts to your diet. But this is because there is so much sugar in what we eat. From the sugar we know to look for to the hidden sugars that make all of our favorite foods taste so good.The diet suggested by this book is intensive and is more in the mode of a lifestyle change than a mere diet. That said the book offers a lot of help with detailed meal plans to help you through 3, 15, or 30 day sugar detox. Be sure to try the Salmon Teriyaki and any of the Quinoa dishes.","01 9, 2014",A2YRN4DVJZ8THZ,"Melinda Morelli ""MelAM""",Need Help Cutting Down on Your Sugar Intake?,1389225600
1612183026,Books,"[0, 0]",5,"This would make a excellent movie. Definitely not a typical chemical spill story. Great characters, great story line, and a great twist! I just love her her characters.  She draws you into their world so well.  Would have liked more details about what happened to the other characters at the end though. I'm really looking forward to her next book.  I've enjoyed her all of her books so far but I enjoyed this one the most.","02 7, 2014",ADRCHQA7VH0SV,Diane S,What a twist!,1391731200
0062516590,Books,"[0, 0]",5,"The magnitude of the love and dedication Julia Hill fills you with as her and Lunas story unfolds is nothing short of spiritual. The tragedy of our clear cutting our old growth forests is as ignorant and evil as our disregard for all sentient beings. Read this book, it will humble you and change your life.","07 9, 2014",A33ZWZDINGU1EF,Margaret Kilbride,Truly Inspiring,1404864000
1480170445,Books,"[1, 2]",2,"This story is fairly forgetable, I know because I read it once and then forgot it. It tried to be exciting, but it missed the mark. I didn't feel that the main character acted in a natural way; I don't care if you are a seasoned FBI agent, you don't insist on getting up and going to work the morning after your daughter is kidnapped.The other aspect of the novel, the cause of the financial meltdown of 2008, is probably more fact than fiction, but it is so complicated it would be hard to really understand unless you were a trained accountant. If the author really wanted to expose the corruption of the financial industry he probably should have chosen a different vehicle, because this isn't going to draw the attention of anybody.","03 7, 2014",A1BFC0KY3HJLL6,Librarydragon,forgetable,1394150400
1612182739,Books,"[2, 2]",2,"Not my type of mystery. Was able to determine ""who done it"" at onset of mystery.  Not enough tension between possible love interests and other romantic option (Chris and Craig) was pretty weird.  Peek into art world, specifically Georgia O'Keefe, was interesting, but not enough to save the book.","01 19, 2014",A5C1OSL3V49EV,Kerry,Transparent and predictable,1390089600
1613747187,Books,"[0, 0]",5,"It is hard to believe what you are reading in this account of this most amazing woman.  Her story, well told, drives within us all the search to see what hidden goals need to be expressed despite what family, friends, and the rest of the world might think are impossible.","04 27, 2014",AQMLY68U3MO1P,Robert William Kirkpatrick,Amazing account of an amazing woman,1398556800
1933495065,Books,"[0, 0]",2,"Originally a good tool to get teens to begin career exploration, this might proceed a bit to slowly to keep today's young people interested.  While the concepts are still relevant, the over stimulated youth of today need a quicker layout of the facts.I was taken aback that this text remained loaded with typos and grammatical errors.","01 28, 2014",A6GFZYL4A8AT9,J. A. Sindelar,O.K.  For beginning career search,1390867200
0374264260,Books,"[0, 0]",5,I loved the book even more than the movie. Its painfully real and really witty and funny. I loved it.,"01 15, 2014",A1JI317V2CUPEO,Amazon Customer,Witty and Real,1389744000
0804801967,Books,"[0, 0]",4,"Book is well written and enjoyable to read. It was a fairly quick read too. The characters are Interesting too. BUT, the Keanu Reeves movie is nothing like it.  The movie is good in its own rights but there should be almost no comparison between the two.  Its simply historical fact versus Hollywood schlock!","06 21, 2014",A176MZK64XEWFN,Amazon Customer,Cool story......even cooler that it is based upon. historical fact.,1403308800
0312951299,Books,"[0, 0]",5,M C Beaton is always fun. This is the first time I've read this series. Hope there are many more.,"04 18, 2014",A20HBSYMB7BJ5Z,James G Frey,such fun,1397779200
B00H4EXZEI,Books,"[2, 2]",5,"This book ""Road to Siran""is my second book from the same author and he portrays the characters in such a way that it captivates all our hearts. His book ""Voice of conscience"" is a real masterpiece and I enjoyed reading it to the core of my heart. This book ""Road to Siran"" comes as a sequel to his previous work. He stimulates the reader by evaluating the characters in such a way that it gives the readers a feel of freshness.The story starts with the old reminiscence of Erin from JFK international Airport and from where the author's writing took off with a momentum. The Character Erin is represented as a person with great interest on Ballet dancing and reading books. Her fathers death had made a strong imprint on her mind which resulted in exploring to know more about her Dad. Another character by name Elicia, friend of Erin is portrayed in a memorable way, she often changes her boyfriend and comes out as an high energetic character. The communication amid Erin and Elicia in the high school brings out our own memories during those good old days, they were depicted as naughty and  gets captivated to their opposite gender. The righteous Turkish Ozcan, very pretentious in nature to whom Erin got attracted at their first introduction.The author brings in equal mixture of Romance and thrill in his book, especially the non-verbal communication between Erin and Ozcan is a unique way of illustration . The unfathomable writing of his book makes the readers to associate with it emotionally which is the key triumph for the author. All the readers would enjoy and will experience enchanting feeling of love in this book. The greatest truth that actions of one will be the deciding factor of course of events in his life is nicely depicted by Kaya.","01 20, 2014",A116HRWRAF4F0N,Henry,A Tale of Love,1390176000
B00KP5P2EY,Books,"[1, 1]",4,"Author had me in the first few pages, it initially reminded me of The Hunger Games, which I loved.Wonderfully descriptive characters and scenes make you feel like you are in the story and participating right along side of these two would be Hunters.  This tale keeps you on the edge of your seat with lots of action and with a smattering of mystery and intrigue thrown in for good measure.I Loved It!  I would highly recommend this book to all readers.Keep up the great work, Kaye!  You knocked it outa the ballpark with this one, please give us more.","06 4, 2014",A13TSHRPNBZ48G,"L. Laskie ""Swillpup""",Knocked it outa the park!!!,1401840000
0804138818,Books,"[1, 1]",4,"I wanted to give up on this book several times in the beginning, but stuck with it based on other reviews as well as my own rule (albeit not hard fast) that I stick with a book to at least 50%.  I am glad I did.While I did not love it, my lack of love was based on the total lack of a likeable character. The only redeeming value of the main character and narrator was the love he had for his daughters. The writing is superb with a well thought out and suspenseful plot.  I was somewhat confused by the ending--not sure if the author just did not know how to tie up everything and resorted to resolutions that were just unrealistic or whether his ending was calculated to show that even the narrator's love for his daughters was not real and that he was therefore just as despicable as the other characters.","07 3, 2014",A184TZN9UC2EZC,loriltx,If you're looking for a warm and fuzzy read-this ain't it!,1404345600
0547892624,Books,"[0, 0]",3,"I don't know what I was expecting but it wasn't a book about multiple affairs, drug use and lots of f words.  I have always admired her talent, now I think she would have wise to have been more prudent about her private life.","02 10, 2014",A3JYXUKQTYGG7A,"James E. Barnwell ""Jim""",Not the LaVerne I Knew,1391990400
1402258283,Books,"[0, 0]",5,I completely enjoyed this book! I haven't read the first two books in the Nexus series but I was able to pick this book up and follow along completely. I'm definitely reading more about the Nexus!I received a galley copy of this book in exchange for an honest review.,"01 2, 2014",A2ITTZV7SZ30DZ,Rhonda,loved the suspense,1388620800
0307930467,Books,"[0, 0]",5,My 5th grade son and I both enjoyed the variety of characters and preview of what to expect in middle school,"05 7, 2014",A3GOATL4T00AKA,Logan S. McDougal,Fab sequel.  just as good as the first book,1399420800
1250058236,Books,"[1, 2]",5,"I can't say enough good things about thus book! Besides it's written by a man & seeing a man write erotica gives u a rare insight to the other side! The writing was great, idea & plot xcellent! I've absolutely fell in love with the characters! Angst in abundance But out herione has a spine of steele which I love to see, a woman that knows what she wants & fights for it & the man that fell for her! Love love love Matt!!","01 6, 2014",A1F1N09JY8FXQ2,"Erline I. Iacaboni ""book devour""",Excellent!!!!Hot Hot Hot!!!,1388966400
B00GVQOJZ4,Books,"[0, 0]",5,WOW.  THESE BOOKS ARE GREAT.  CANNOT WAIT FOR THE NEXT.  GLAD TO SEE FRIENDS HELPING EACH OTHER AND PULLING THROUGH THE TOUGH TIMES,"04 21, 2014",A1098Z3D7ENJ2F,veronica mostel,LOVED IT,1398038400
B0086BG8EW,Books,"[1, 1]",5,"The author does a wonderful job of merging the spiritual motivation with the practical advice and techniques for getting started. He doesn't just use Bible verses to make his points, but also the words and advice of renowned artists, authors, and creators.This book deals with the common objections and problems that people have when they face the reality of creating something. There is practical advice for setting the right expectations, creating the right habits, taking criticism well, and much more.No, this is not the first time this advice has been given, but it is nice to see it all put in the light of honoring the Lord!Highly recommended for any believer!Thank you for making this book available for the free giveaway!","01 12, 2014",A1SKME00QMJR6,"J. Robideau ""Rob""",Fantastic Motivational Book for Wanna-be Creators,1389484800
0805017585,Books,"[0, 0]",5,I love this story. This book is very unique and the students in my class love to read this book.,"01 15, 2014",A2IRWWEGN9673D,erin,cute,1389744000
B00ACPP3QE,Books,"[0, 0]",5,The book was raw with emotion and pain.  It really gives you in site into the subject of the book. I can honestly say that I can understand anorexia because of the author.  Great read!,"06 10, 2014",AYU73OXDMBZLS,Patricia Pickett,Truly inspiring book.,1402358400
B007Y7L3EO,Books,"[0, 0]",5,A book filled with twists and turns.  You change your mind a dozen times about who the bad guy is and by the end probably find you were wrong.,"05 12, 2014",A3QLY3PY0TTV04,Pam,A superb who dunit,1399852800
0316017922,Books,"[1, 1]",5,"Ancient Roman philosopher Seneca said it first, then, a couple of centuries later, famed Alabama football coach Bear Bryant echoed the thought. (Didn't know Coach Bryant was such a scholar on Roman philosophy, but that's another story for another time, another review perhaps!!!)Luck does come when preparation meets opportunity, preparation as defined by 10,000 hours work hard work and preparation, opportunity--and the traditional defintion of luck could figure in here--by when you were born. Not so much where you were born or into what economic circumstances you were born, but by the time of year that you were born.  In academics and athletics, for example, being born just days or weeks past the deadline for  admission or participation, could give a young person the significant advantage of having another year to develop mentally and physically thereby putting him/her a year ahead of others  enrolling or beginning participation at what is technically the same time.  This is defined by Gladwell as opportunity.Oh, luck does pay a part, such as who made the first computer availabale to Bill Gates, but it wasn't so much who or when as much as what Gates did with that computer, how hard he worked at it.  Some things are beyond one's control, but most things are not--if you are willing to work hard and, as Bryant would say, sacrifice along the way.Not necessarily a quick read, or an easy read, but a good, thought provoking read.The Epilogue is, by far the best part of the book, but to appreciate it, really and fully appreciate it, the other nine chapters must be read first.  Epilogue is very moving and insightful.","03 6, 2014",A26BVUB2YJMGB7,Big D,This  Book Proves it:  Seneca and Bear Bryant Were Right:  Luck Does Comes When Preparation Meets Opportunty.,1394064000
1885928068,Books,"[0, 0]",5,I am working it and it takes some time as the exercises you must do in order to strengthen your mind to become a more powerful magician.  It isn't a book that you work quickly but one that would probably take many years of working on yourself. So I do it along side of other magical practices I do.  But I feel that it helps with working on concentration and visualization that help when working spell magic.,"05 14, 2014",A2IXCQBN9JXV51,Stacy,This is a fantastic book,1400025600
059530253X,Books,"[0, 0]",4,It's convoluted but I still enjoyed reading the book. I didn't realize the author was a Perry Mason fan until after I read the book and you can see Perry Mason in how the character deduces who did what.  There are too many people murdered and too many psychos for such a small town but you continue to stumble along with Josh as he finally figures out who killed whom.  The kids are Nancy Drew and practically raise themselves.  I have a question: Does Maggie inherit? After all she is Wally's daughter.,"03 31, 2014",A2348QSDI61LRX,Avid Reader,Convoluted,1396224000
068816689X,Books,"[0, 0]",5,Excellent book everyone should read. This is a book you'll not be able to put down. I definitely recommend it.,"04 26, 2014",A2MQURI8SGMRZO,carolflorida,Excellent book,1398470400
1442348364,Books,"[0, 0]",5,"I am a big fan of Mary Higgins Clark, but the book had some good history as well as mystery.  You are brought into the past, along with the pain that is felt by her main character in trying to solve her father's murder.  Very compelling book","01 14, 2014",A3SYGMYDVR55NT,"Ragen Mandell ""Avid Reader""",Fan,1389657600
B00IKA8E1E,Books,"[0, 0]",4,"Enjoyed some of the selections more than others, but that is to be expected in an omnibus. I find these a great way to discover new authors.  Thanks","07 13, 2014",AOUPEIOL1VGWP,teri horn,Enjoyed some of the selections more than others,1405209600
076420498X,Books,"[0, 0]",4,"I have read every Lynn Austin book I can get my hands on. Although this was not my favorite, her books are always worth the read.","04 25, 2014",A9D0O9MZMOEBX,Amazon Customer,Always Worth The Read,1398384000
B00E9AM5K0,Books,"[0, 0]",5,"Dragons, magic, and alpha males, oh my!  What's not to love?A defiant princess must learn some hard lessons, often at the expense of her bottom, to save a kingdom.","03 2, 2014",A1L9FKVZW5DF8E,Jade Snow,Dare to Defy,1393718400
1939392756,Books,"[0, 0]",5,"I adored this book.  Sydney and Kyler have been bffs forever and in love but too chicken to tell each other (a favorite trope of mine) how they feel. Syd thinks manwhore Kyler could never be attracted to her and Kyler thinks ms-i-plan-for-everything Sydney deserves better than his douchy self. When they get stuck in a snow storm, truths come out.Syd was a bit insecure and Kyler was a bit hobag but the way their story played out warmed my heart which is why I say 5 This is Forever stars. It wasn't perfect but it was perfect for me and I smiled like a goofball throughout.","04 5, 2014",A1W6QQ0ETZ8TAQ,"idrathernot ""idrathernot""",A favorite of mine!,1396656000
042525674X,Books,"[2, 2]",5,"Great new characters, good development, as always raises more questions then it answers.  I love the how pack dynamics are used.","03 16, 2014",A1KKU10M53PNW,M S,LOVE IT,1394928000
